description,years_exp,country,salary_range,job_category,job_title,required_skills
"-Tier 1: Any Degree-Under Graduate- 300k to 1500k-
Data Analysis
,
Excel
,
Machine Learning
,
Nosql
,
Power Point
,
Python
,
R
,
Regression
,
Sql
,
Statistical Modeling
,
Time Series
-
Gurugram
!!!Plan and own the lifecycle of simple project and own quality for it+Communicate complex information in a structured way with stakeholders+Manage and mentor 1-2 analysts (Sr. Analyst)+B.Tech, M.Stat/ MA, M.Sc. (Economics)/ Math or other equivalent degree from reputed institute ISI, IISc, IIT, Delhi School of Economics, IIIT, Chennai Mathematical Institute, or abroad with a strong conceptual understanding of various statistical concepts+1-3 (Analyst) or 3-5 Year (Sr. Analyst) of work experience in data analysis and statistical modeling+Able to structure a technical problem+Understanding of SQL / NoSQL databases+Sound knowledge of tools (specifically R/Python) used in statistical analysis+Good understanding of techniques such as Regression, Time Series, Basic ML concepts+Proficient with MS office – specifically MS Excel and PowerPoint",1.0,Gurugram,300k to 1500k,Data_Analytics,"Analyst, Business Analytics- Gurgaon, India (1-5 Years Of Experience)","Data Analysis,Excel,Machine Learning,Nosql,Power Point,Python,R,Regression,Sql,Statistical Modeling,Time Series"
"• Provide reporting and performance monitoring to game studios using data drawn from diverse sources• Perform detailed data exploration and validation to separate genuine phenomena from spurious anomalies• Develop new insights and analyses that inform decisions and help us continue to delight the people playing our games Required Skills• 4-6 years of experience performing quantitative analysis, preferably for an internet, technology or consumer-centric company• Excellent SQL skills: extensive experience working with large, complex data sets• High proficiency with Excel including pivoting capabilities and analysis modules• Working knowledge of basic statistics; experience with R, Python, SAS or similar a plus• Problem solving skills: Ability to execute research projects, and generate practical results and recommendations without much guidance• Storytelling abilities to provide recommendations in a structured/logical way• Experience with Tableau or other similar tools, to create compelling visualizations to help managers take data-informed decision, is a plus• Good client management skills with a strong grasp of both technical and business perspectives• Proven ability to work in a fast-paced environment, and to meet changing deadlines and priorities on multiple simultaneous projects• Excellent organizational, communication and interpersonal skills• Enjoy working in both individual and team settings• Experience with perl scripting, php or unix shell commands a plus• B.S. or B.A. in math, economics, engineering or other technical field required; advanced degrees a plus-Does Not Matter-Under Graduate- 500k to 1000k-
Data Exploration
,
Data Validation
,
Perl
,
Python
,
R
,
Sas
,
Sql
,
Unix Shell Scripting
-
Bengaluru
!!!",4.0,Bengaluru,500k to 1000k,Data_Analytics,Data Analyst- Bangalore (4-6 Years of experience),"Data Exploration,Data Validation,Perl,Python,R,Sas,Sql,Unix Shell Scripting"
"The Data Quality and Management team is the foundation of our success. From over 100 million addresses we have delivered packages to, we have records of addresses, consumer habit and demand for products, on the movement products and services.. to name a few. Having a strong Data Quality Management management with regard to the acquisition, maintenance, disposition and distribution of data is crucial for company future success.--Does Not Matter-Under Graduate- 300k to 800k-
Analytics
,
Database
,
Excel
,
Sql
-
Gurugram
!!!Maintains database results by setting standards and controls.+Participate in daily activities of the Data Services team+Data validation, data cleansing, Data Tagging, Data quality, data edition, including adhering to standards, methods, processes, tools, and controls to manage enterprise-wide stores.+Manage data quality – make sure our database is clean, run data validation rules, record compliance and cleanse incorrect records. Ultimate goal is to record cleanset of all records.+Consistently spot when data looks wrong, and is emotionally compelled to figure out why+Schedules and requests data updates/ transfers/ to/ from various database.+B.E /BCA / MCA/B.Sc (Maths)+1-3 Year of work experience in data quality+Experience working on various databases+Excellent Excel skills and good SQL skills+Good analytical skills+Attention to detail and good communication skills",1.0,Gurugram,300k to 800k,Data_Analytics,"Analyst, Data Quality- Gurgaon, India (1-3 Years Of Experience)","Analytics,Database,Excel,Sql"
"•    Data Extraction: Take ownership in extracting data from various data sources. This would require an understanding of project objectives, data requirements and working with databases to meet the data needs for the project.-•    Data Harmonization: extraction of data from huge/complex databases Using Advance Excel and SQL is required.-Does Not Matter-Under Graduate- 500k to 950k-
Data Analysis
,
Database
,
Data Extraction
,
Excel
,
Sql
-
Bengaluru
!!!",3.0,Bengaluru,500k to 950k,Data_Analytics,Data analyst- bangalore (3+ years of experience),"Data Analysis,Database,Data Extraction,Excel,Sql"
"- Experience in developing web-based applications using Python, Flask/Django, RESTful API.- 2-4 years of experience working with Django framework, libraries and third party integrations- Proven expertise in web programming and have worked extensively with any one or more of JavaScript libraries like AngularJs, jQuery, Dojo, etc.- Extensive experience in HTML/DHTML/CSS Web 2.0 development or PHP.- Proficiency in Relational/ Non-relational databases like Mysql, Postgres or MongoDB.- Amazon Web services.- Third party integration: Analytics, payment gateway- Good knowledge of Linux and Shell/Python scripting- ElasticSearch and Linux System Administration experience is a definite bonus- Should be proficient in understanding architecture of an existing enterprise class application and give recommendations to enhance and maintain the application from a design/architecture/integration perspective.- Good analytical and troubleshooting skills in web and application server environments.-Does Not Matter-Under Graduate- 350k to 500k-
Angular Js
,
Api
,
Aws
,
Css3
,
Html5
,
Java Script
,
Jquery
,
Linux
,
Mongodb
,
Python
,
Unix Shell Scripting
,
Web Application
-
Pune
!!!",2.0,Pune,350k to 500k,Data_Analytics,Technologist- Pune (2-4 Years of experience),"Angular Js,Api,Aws,Css3,Html5,Java Script,Jquery,Linux,Mongodb,Python,Unix Shell Scripting,Web Application"
"Bachelor’s degree in Computer Engineering or equivalent is desired-8+ years of post-college working experience as a developer and architectin Engineering, or Data-Mining organization-8+ years of experience with full life-cycle development in DataWarehousing and Data Integration projects using Teradata.  Teradata SQL masters certification isrequired.-6+ years Linux/Unix/Perl experience, including scripting and versioncontrol with working knowledge of Teradata utilities : FastExport, BTEQ,FastLoad and MLoad-5+ years of Python development experience is required-4+ years of Hadoop and / or SPARK experience is required-Expertise in Shell scripting, system/process automation is required--Expertisein data research/analysis with a focus on data quality and consistency isrequired-Does Not Matter-Under Graduate- 950k to 1750k-
Data Mining
,
Data Warehouse
,
Hadoop
,
Linux
,
Perl
,
Python
,
Spark
,
Sql
,
Teradata
,
Unix Shell Scripting
-
Chennai
!!!",8.0,Chennai,950k to 1750k,Data_Analytics,"Solutions Architect, Data Finance- Chennai (8 years of Experience)","Data Mining,Data Warehouse,Hadoop,Linux,Perl,Python,Spark,Sql,Teradata,Unix Shell Scripting"
"About the company--We are a leading global provider of Business & Operations support system that empowers communication service providers to achieve competitive advantage through business & Capex optimisation- thereby enabling them to improve their operational efficiency to deliver enhanced service experiences to subscribers.--Job Description-Opening for Lead Data Analyst with 6-9 years of experience. Graduates with majors in statistics/mathematics and MBA preferred but not mandatory.-Role-Dive deep into data and emerge with actionable nuggets of information thereby helping CSPs to monetize their vast reserves of data. Extract, analyze, correlate, model, interpret and transform data into business insights. Employ descriptive, diagnostic, predictive and prescriptive techniques to derive value. Mentor and guide team members from technical and business perspective.-Desired Skills-·         One or more of the following:-·         Working proficiency of machine learning techniques like Bayesian, Decision Trees, Neural Networks, Ensemble etc.-·         Knowledge of advanced statistical methods including multivariate statistical methods, discrete choice modeling, etc.-·         Working proficiency in at least one data mining tool (SAS, SPSS, R, RapidMiner, etc.) -·         Strong proficiency in SQL and working proficiency in at least one programming language/scripting (R, Python, BASH script, Pl/SQL)-·         Strong logical and quantitative skills with affinity for mathematics-·         Self-driven, exploratory mindset and comfortable with detail-·         Business acumen-·         Good communication skills-·         Open to travel/relocate to all worldwide locations-Qualification/Experience-·         Bachelors with majors in IT/CS or MBA with analytics bent-Graduates with majors in statistics/mathematics will have an additional advantage--Does Not Matter-Under Graduate- 1500k to 2500k-
Machine Learning
,
R
,
Sql
,
Statistical Modeling
-
Bengaluru
!!!",6.0,Bengaluru,1500k to 2500k,Data_Analytics,Lead Data Analyst- Bengaluru (6 to 9 years of experience),"Machine Learning,R,Sql,Statistical Modeling"
"About the company:--We believe buying insurance is not about avoiding risk, its about overcoming it. We hope to create the most simple to use & transparent platform to buy & manage insurance. We exist because buying insurance is currently confusing & painful. It should be easy too understand what is covered in your policy. It should be easy to compare features & pick the right policy. And it should be really easy to buy a policy online. We are here to make it happen, be really easy to buy a policy online. We are here to make it happen.-As Head of analytics, you will design, develop and execute data driven solutions for multiple business units across the analytical spectrum for customer engagement and revenue growth.-You will be working with the business functions & CXO team to identify business issues and strategic growth areas and enhance quality of decision in various business through analytics. -Business Strategy:-Data--Finance-Qualifications & Skills  --Tier 1: Any Degree-Post Graduate- 3500k to 5000k-
Clustering
,
Data Visualization
,
Decision Trees
,
Linear Regression
,
Predictive Modeling
,
Python
,
R
,
Sas
,
Spss
-
Mumbai
!!!Sharpen internet marketing strategy to improve spends’ ROI+Customer segmentation for affective customer advocacy, upsell and renewals program+Conduct deep-dive analysis to drive business improvement projects+Conduct market feasibility study for new business opportunities+Work with the Business head/CXOs and marketing functions to identify business issues and translate them into analytical problems+Lead and coach 5 to 7 team members working on various projects.+Manage end to end project delivery with global project teams and ensure quality, timeliness and accuracy of the output+Develop sophisticated & innovative analytical solutions that generate actionable insights by utilizing diverse information sources+Test recommended solutions in appropriate pilot areas and improve the solutions based on learnings from pilots+Lead cross-functional initiatives with limited direction and influence senior management to adopt analytical solutions+Implement analytical solutions in IT systems to support decision making processes.+Introduce “micro-charts” and “master dashboards” for sharper MIS as decision making tool+Dashboards, Analytics and intelligence around lead generations+MIS for sales conversations, issuance, and services metrics+Agent performance dashboards for multiple levels+Provide high-end consulting support to functional teams using in-house data+Build engaging partnerships with functional leaders and identify business opportunities for future analytics utilization+Keep abreast of industry trends and emerging methodologies to continuously improve skillset+Contribute to knowledge sharing and improve team productivity through training/documentation of best practices and coaching of junior team members+Analyze data to evaluate existing decision framework and apply analytical techniques to discover meaningful patterns and further enhance the quality of decisions+Ensure close compliance between financial budget and actuals+Drive expense gap ratio through deviation analysis+7-10 years of experience in the field of Analytics/Business intelligence, preferably in+Expertise in any of the following tools: R, Python, Knime, SAS, SPSS+Expertise in analytical techniques such as Linear Regression, Cluster analysis, Market Basket analysis, Decision Tress, Linear Optimization etc.+Strong MS office skills and data visualization competence+Strong communication and presentation skills+Attention to detail and ability to work in high pressure environment",7.0,Mumbai,3500k to 5000k,Data_Analytics,Head of Analytics-Mumbai (7 to 10 years of experience),"Clustering,Data Visualization,Decision Trees,Linear Regression,Predictive Modeling,Python,R,Sas,Spss"
"We are working on solving challenges at the point of sale, and in the process enabling retailers to better their business in the evolving world. We belong to the one of  the largest retail merchandising company in India. close to 5000 employees, 80 offices, operations across 600+ towns and 17 years of deep retail experience.-Indian grocery retail is a melting pot of challenges. Some see these challenges as formidable and unsurmountable...we see them as opportunities, we are building solutions to monetise these opportunities. --The role needs someone who is good with numbers, has strong communication and interpersonal skills, superior problem solving abilities and analytical thinking with hands on experience in the Retail/ CPG/FMCG analytics domain. --Job Description--Design and Build Statistical and Machine learning Models, Market Basket Analysis and Extraction systems-Skill Set--Education   Graduation in Engineering/mathematics/Science/ Economics/ Statistics/ MBA (preferred) /Masters Preferred  Experience:   2-3 yrs. of total exp. in Analytics/ Research.  Experience in Retail or FMCG domain will be valuable.--Job Location: Chennai-----Does Not Matter-Post Graduate- 600k to 800k-
Market Basket Analysis
,
Predictive Modeling
,
Python
,
R
,
Retail Analytics
,
Sas
,
Sql
,
Tableau
-
Chennai
!!!Use the models and dashboards to solve business problems related to client and communicate the solutions to Stakeholders, in FMCG Retail+Sales prediction using time-series modelling+Deploy Advanced Statistical Techniques like R, SAS, SQL, Tableau, Predictive Modelling, SEM  Analyse and Forecasting Technique and churn data to derive meaningful insights and validate using correlation/ regression. Provide actionable and advanced analytics solutions+Retail Analytics: Market Basket Analysis+Machine Learning: Classification, Regression, Clustering,  Feature Engineering+Statistical Model:  Time Series, Regression Models, Hypothesis Model+Software & Programming Language:  Python, R, SAS, SQL, Tableau+Good at doing data based presentations using MS office tools",2.0,Chennai,600k to 800k,Data_Analytics,Business Analyst- Chennai (2 to 5 years of experience),"Market Basket Analysis,Predictive Modeling,Python,R,Retail Analytics,Sas,Sql,Tableau"
"We build machines that can style people, end to end, just like a personal stylist you can hire. Our vision is to provide every single individual benefit & pleasure of having a personal stylist. Not everyone is celebrity - does not mean they would not desire for it.-It is indeed a hard problem & what it takes to solve is proprietary tech including advanced machine learning.-Job description:-You will play with AI and build machines that can style people, alongside a passionate team having collective work-ex of 40 years.-You will work on building a smart vision system that can make styling theory based inferences over images out of thin air. Other streams which you can observe and participate in longer term are recommendation engine and nlp style bot.-What you can expect from us: 1. You'll have a voice, opinions aren’t just welcome, they're expected 2. You'll work with an experienced mentor in data science 3. You'll work on big problems which have real world applications 4. The problem solving will need you to know, - Computer Vision - Tensorflow, Caffe, Theano, Keras (one of these) - CNN - Predictive modelling - NLP - Python - Algorithms & data structures-What we expect from you: 1. Deeply care about the problem we are solving 2. Critical thinking 3. Enjoy user research driven iterative model of development 4. Learn new skills on the go-Does Not Matter-Under Graduate- 1200k to 1800k-
Caffe
,
Computer Vision
,
Keras
,
Nlp
,
Predictive Modeling
,
Python
,
Tensor Flow
,
Theano
-
Bengaluru
!!!",3.0,Bengaluru,1200k to 1800k,Data_Analytics,Senior Machine Learning Scientist- Bangalore (3 to 5 years of experience),"Caffe,Computer Vision,Keras,Nlp,Predictive Modeling,Python,Tensor Flow,Theano"
"About Company---We are India`s largest financial marketplace for lending and investment products. Our aim is to make personal finance decisions easy, transparent and convenient for India. Here, you can compare loans, credit cards and investment products, from India`s top banks and NBFCs, from anywhere and at any time.-We offer a wide suite of products that include Personal Loan, Credit Card, Home Loan, Loan Against Property, Home Loan Balance Transfer, Car Loan, Education Loan, Savings Accounts, Mutual Funds, Fixed Deposits, Mobile Wallet and Gold Loan.-About Department-The Analytics function supports all business lines from Credit Strategy perspective, with responsibility for driving companywide credit initiatives. Also it drives the other analytics projects of organization importance. The key objectives of the function are:--•       Building Predictive models (Application Score Card, Product, Pricing & Portfolio Analytics, Loss Forecasting, Cross Sell Model, Developing Recommendation Algorithm)-•       Creating Credit vision and Framework to ensure we are able to maximise on each visit on our portal-•       Identifying the opportunity area/segments where we can buy the risk and fulfil the lead-•       Business Intelligence: Develop and publish various new age dashboards for the Management & Senior leadership to track key business metrics also real time tracking of each action performed by Customer & Agent on our website and mobile app--The function works directly with CXO’s to identify areas of data analysis requirement, define problem statements and develop key insights.--Purpose of your role and key accountabilities-Selected candidate will lead Advance Analytics Team, will have the responsibility of working in a hands-on delivery role with primary focus on building Predictive Models, Credit Score Card, Strategic Analytics Initiatives.---Above responsibilities are just to outline primary focus, however it will not be limited to that. We are an emerging organisation, there is a high possibility that scope of the role will enhance/change time to time based on the needs and organisation priorities.--Your skills and experience--Academic Qualifications : B.E./ Master’s in Economics/ Business/ Marketing Science/ Econometrics / Master’s in business Analytics-Mandatory Experience: 4-8 year of experience in building Credit & Application Score Card, Predictive Modelling Role (Preferably in Fintech/BFSI/financial service industry)-Tools: R, Python--Does Not Matter-Under Graduate- 1500k to 1800k-
Bfsi
,
Credit Risk
,
Portfolio Analysis
,
Predictive Modeling
,
R
-
Gurugram
!!!Develop and Maintaining Credit Risk Models & Strategies+New Product development, Pricing Strategies+Take lead in conducting critical analysis for the portfolio including but not limited to Product/Portfolio Diagnosis, Deployment, Credit Policy Review, Market/Product benchmarking etc.+Implement robust portfolio and strategy monitoring and tracking reports. Develop hypotheses about customer behaviour and profitable growth scenarios and apply the right mix of qualitative and quantitative techniques to identify causes and solutions+Develop key customer insights across various customer segments & customer profiles.+Strong execution and project management skills and ensure timely delivery of projects/analysis+Build and nurture strong relationship with key stakeholders across business lines+Provide effective coaching/mentoring to the team and play critical role in team development+Participate in various reviews and provide effective oversight and commentary on the all projects+Identify opportunities for standardization of analytical processes to bring in effectiveness and gain efficiency+Drive innovation for self and team to deliver incremental business value+Support activities like effort and commercial estimation for various projects, Staffing and review of staff performance, Recruitment+4 to 8 years of experience in leading teams to build an analytical solution for managing consumer credit risk with a financial institution, credit bureau or fintech startup.+Strong experience in leading credit risk model development, validation, deployment and documentation+Excellent Quantitative & Statistics background+Analytically oriented with ability to grasp complex risk management strategies, processes, models and draw insights / identify areas of opportunity+Strong track record of delivering on high value / critical projects. Ability to communicate with senior stakeholders crisply and confidently on findings, status, bottlenecks and escalations+Ability to work independently, structure analyses and handle multiple priories+Proven track record of delivering in a start-up environment would be a plus",4.0,Gurugram,1500k to 1800k,Data_Analytics,Sr. Manager/ Manager- Data Science -Gurgaon- (4 to 8 years of experience),"Bfsi,Credit Risk,Portfolio Analysis,Predictive Modeling,R"
"We provides an AI-augmented on-demand workforce to enterprises for doing human tasks. We believe that in this day & age enterprises shouldn't hire large teams to do operational work.-By building world class enterprise software that combines the best of human & machine intelligence, we're on our way to displace the incumbents of the BPO industry.-We believe that special companies are built only when extremely smart and highly motivated individuals work towards a common goal. We started from India, went through the Y Combinator & Google Launchpad accelerator programs, and now have an international presence. But it's still day one, there's lots to be done. -Job Summary-We're looking for someone to partner with us as we build the intelligence into our 'Human + Machine Intelligence as a service' offering. As our's first machine learning engineer, you'll be responsible for building multiple data science products, driving ML innovation across the stack and establishing thought leadership amongst industry experts.-Responsibilities-You'll excel at this position if -Benefits and Perks-Does Not Matter-Post Graduate- 1800k to 2400k-
Computer Vision
,
Deep Learning
,
Machine Learning
,
Python
,
R
,
Statistical Techniques
,
Tensor Flow
-
Bengaluru
!!!Building machine learning models for user profiling, quality assurance & incentive design.+Building spam detectors to catch common abuse patterns +Demonstrate thought leadership by publishing case studies, open sourcing datasets, speaking at conferences and writing blog posts+You have a background in Mathematics, Statistics, Computer Science and 2+ years professional experience in the application of machine learning to solve real world problems.+You have built models using NumPy, SciPy, Pandas, TensorFlow or equivalents before+You have familiarity with recent ML literature+You're excited about working in a fast-paced startup environment+Breakfast, Lunch, Coffee & healthy fruits on the house.+Medical Insurance for you and your family.+Friendly leave policy - Everyone gets to vote and decide holidays.+Flexible work timings - as long as you get the job done.+We pays for all things that can make you more productive.+100% reimbursement of any conference where you represent us.+We will pay for entrance fee for all participants in any marathons where at least two members participate together.+Weekend gaming sessions and a beautiful office with a canteen and foosball table.+It’s important to maintain a good work life balance hence we have alternate Saturdays off.",3.0,Bengaluru,1800k to 2400k,Data_Analytics,Data Scientist- Bangalore (3+ years of experience),"Computer Vision,Deep Learning,Machine Learning,Python,R,Statistical Techniques,Tensor Flow"
"Key Responsibilities: -We aims to launch a 9-month online Diploma Program in Big Data (Developers) in partnership with a top Indian University. We envision building this credential into a gold standard for Big Data professionals, akin to a CFA in the Finance world. -As a Subject Matter Expert (SME) – Big Data, we would seek your leadership in the following areas to help deliver a rigorous, industry-relevant program: -Ø  Curriculum development (10% time): Build a rigorous program by informing decisions on curriculum structure, describing various Big Data Processing concepts in innovative, simple ways, and time allocation across concepts  - Ø  Industry-relevant cases and projects (40% time): Identify industry-relevant projects/cases and develop them (e.g. data sets, code solutions, evaluation criteria) with industry partners to offer students compelling project experience from a recruiter standpoint. - Ø  Academic quality assurance and guest faculty (40% time): Help create learning material with an in-house team of instructional designers and review its technical quality. Deliver 1-2 modules to supplement the existing faculty.- Ø  Thought-leadership (10% time): Leverage our platform to publish original content-(e.g. video as guest faculty, articles on blog) to position yourself, and by association  we as a thought leader in the Big Data industry- Ø  Student experience (post-program launch): Lead a team of program associates to assist students with their academic doubts on our platform  -We are engaging with various partners like IIIT-B, Citi, Flipkart, Fractal, etc. which will give us the opportunity to build brand equity alongside industry thought leaders through our proprietary events, video content database, blog, among others.  Join us on the journey of building a world-class program in Big Data!  -Desired Profile: -8-10 years in Big Data education and industry -Hands-on, workplace experience in applying concepts in Hadoop, Spark, Hadoop Ecosystem Tools, NoSQL, Visualisations, etc. -Intermediate to advanced proficiency in Java, SQL, and Python  --Experience in multiple verticals will be a plus  ---Does Not Matter-Under Graduate- 1500k to 2000k-
Bigdata
,
Datavisualization
,
Hadoop
,
Hadoop Ecosystem
,
Java
,
Nosql
,
Python
,
Spark
-
Mumbai
!!!",3.0,Mumbai,1500k to 2000k,Data_Analytics,"Subject Matter Expert (SME)- Big Data- Mumbai (3 to 10 years of experience, Full time & Part time)","Bigdata,Datavisualization,Hadoop,Hadoop Ecosystem,Java,Nosql,Python,Spark"
"We are the information technology service provider that specializes in design, delivery and implementing technology driven business solutions. Through offices in the United States, UK and India, we provides complete range of services leveraging it domain expertise. Clients gain immediate and measurable value from our offerings that span business and technology consulting, application services, systems integration, product development, custom software development, maintenance, re-engineering, testing and validation services, IT infrastructure services and business process outsourcing.-Job brief-We are looking for Data Analyst/Scientist to dig insights from various data sources.-Data Analyst Job Duties-Source, clean, analyse and report insights using good software life cycle quality controls.-Responsibilities-·        Interpret data, analyze results using statistical techniques and provide ongoing reports-·        Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality-·        Acquire data from primary or secondary data sources and maintain databases/data systems-·        Identify, analyse, and interpret trends or patterns in complex data sets-·        Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems-·        Work with management to prioritize business and information needs-·        Locate and define new process improvement opportunities-Requirements-·        Strong Python or R programming skills.-·        Prior experience working with Time Series data modelling, especially in Financial and Capital Markets segment.-·        BS in Mathematics, Economics, Computer Science, Information Management or Statistics.--Tier 1 : Entire Education-No Restriction- 800k to 1500k-
Bfsi
,
Python
,
R
,
Time Series
-
Hyderabad
!!!",0.0,Hyderabad,800k to 1500k,Data_Analytics,Data Analyst- Hyderabad ( 3 to 8 years of experience),"Bfsi,Python,R,Time Series"
"We are the leading companies leverage big data, analytics & technology to drive smarter, faster & more accurate decisions in every aspect of their business. We serve as a strategic partner to our clients where we consult & deliver a wide range of analytics services for centralized analytics team or individual business units.-Job description:-Position Expectations-Qualification & Experience-Education: Preferably an MBA or an Engineer with relevant experience-----Does Not Matter-Post Graduate- 1250k to 2000k-
Marketing Analytics
,
Predictive Modeling
,
Project Management
,
R
,
Sas
-
Bengaluru
,
Gurugram
,
Mumbai
!!!Develop and implement analytical methodologies, processes, and technological solutions that integrate diverse information solutions and generate analytical insights+Manage a team of 3-4 analysts on advanced analytics engagements for a technology major+Proactively identify new areas of engagement and work on sales pitches+Manage project & client on a day-to-day basis, and improve existing processes+Effectively provide consultancy to clients on various aspects of their business using data analytics +Knowledge of R/SAS mandatory+Should have at least 4-5 years of hands-on modeling experience on R or SAS+Knowledge of at least a few analytical approaches required +Should have 1-2 years of experience in project & team management+Experience in Marketing Mix Modeling & Technology industry would be a plus+Excellent problem solving skills and communication skills required+Should have worked on engagements that require interpreting findings & extracting insights",4.0,"Bengaluru,Gurugram,Mumbai",1250k to 2000k,Data_Analytics,Senior Consultant- Mumbai/ Bangalore/ Gurugram (4 to 5 years of experience),"Marketing Analytics,Predictive Modeling,Project Management,R,Sas"
"·         Looking for Dynamic Individual who wants to help develop the next generation of technologies that find, organize, analyze, and personalize the unending flow of information faced by users.-·         Data Scientists work on solving problems in various areas of computing including automated information classification, efficient algorithms for “Text mining”, “Focused Crawler” “Machine learning” and “Natural Language Processing” to locate information on the web, scalability issues related to filtering and managing large amounts of data, converting unstructured data into structured data to name just a few.-·         Quickly model, prototype, architect and engineer systems requiring machine learning to match business needs Development of predictive models to classify text into multiple categories and extract meaningful information from text to build knowledge base-·         Manage the scale & high volume of TBs of realtime data streams-·         5+ years of professional experience with core skill sets of Text Mining, Natural Language Processing, Entity Extraction, Relationship Extraction and Machine Learning-·         Experience with text classification algorithms like Naïve-Bayes, SVM etc-·         Experience in using tools GATE, UIMA with java or ntlk with python etc-·         Experience with Open source NLP libraries e.g. Corenlp, Opennlp, mallet, etc.-·         Good Knowledge of Elastic Search/Apache Solr, Lucene will be plus-·         Must have strong combination of programming experience in building end to end applications in Java/Python-·         Understanding of statistics is good to have-·         Tweaking algorithms & data-structures for performance fine tunings-·         Exposure to big data & hadoop eco-system is a plus-Qualifications:-B.E/B. tech, MCA, M. Sc (Computer Science/IT)-Skills & Attitude:-·         Excellent analytical skills-·         Enthusiasm for working in a team to solve interesting problems---Does Not Matter-Under Graduate- 1000k to 1800k-
Apache Spark
,
Bigdata
,
Hadoop
,
Java
,
Machine Learning
,
Naive Bayes
,
Nlp
,
Python
,
Svm
,
Text Mining
-
Mumbai
!!!",5.0,Mumbai,1000k to 1800k,Data_Analytics,Data Scientist- Mumbai (5 Yrs of Experience),"Apache Spark,Bigdata,Hadoop,Java,Machine Learning,Naive Bayes,Nlp,Python,Svm,Text Mining"
"As an Android Developer, you will be responsible for developing habit forming mobile app for Analytics Vidhya's audience. This app would help hundreds of thousands of people across the globe to learn and practice data science on a daily basis.-You will be bringing in new ideas to the company and its products and will be responsible to deliver world-class mobile experience to the users. You will work with our server-side engineers to deliver world class mobile experience.-Responsibilities: Lead and drive entire development cycle of android app development on your own You will build and deploy android apps from scratch You will work closely with our backend engineering to interface with API services and contribute to the APIs when needed You will have to collaborate with cross-functional teams to develop and ship new features with short development cycles-Knowledge, Skills & Experience: 2-5 years of experience with building android applications Experience with Java, Android SDK, platform tools and optimisation techniques Experience interfacing with REST APIs and Git Should have developed at least one app from scratch on your own that has 10,000+ installs on play store B.E/B.Tech in Computer Science or related field, or equivalent experience Experience of backend development with Python would be a plus point--Does Not Matter-Under Graduate- 400k to 800k-
Android
,
Git
,
Java
,
Rest
-
Gurugram
!!!",2.0,Gurugram,400k to 800k,Data_Analytics,Android Developer- Gurgaon (2 to 5 years of experience),"Android,Git,Java,Rest"
"We are a software solutions agency that combines skills of consulting, design, development and management to deliver high-quality mobile and web applications. -We offers services for offshore development and application support, coupled with attention to the rapid and clear communications and project management.-Job Description- Creating Scalable Machine Learning systems that are highly performant - Identifying patterns in data streams and generating actionable insights - Customizing Machine Learning (ML) algorithms for in-house use - Writing production quality code and libraries that can be packaged, installed and deployed - Maintain and improve existing in-house tools and code. Optimize for speed and efficiency Qualifications- Experience of handling various data types and structures: structured and unstructured data, extensive prior experience in integrating data, profiling, validating - Algorithms Geek and researcher in field of data science with a strong experience in statistical & analytics packages/tools (R, Alteryx etc.) - Expertise on Machine Learning/Information Retrieval/Artificial Intelligence/Text Mining problems. - Deep understanding & familiarity with Predictive modeling concepts, Recommendation & optimizing algorithms, clustering & classification techniques - High level of proficiency in statistical tools, relational databases & expertise in programming languages like Python/SQL is desired - Strong analytical, troubleshooting and problem-solving skills - Ability to work independently as well as collaboratively within a team - Candidate should open to learn new open source technologies and languages - Must be able to thrive in a fast paced, customer-focused, collaborative environment. Must be able to work hands-on with minimal supervision or assistance. - Masters- degree in operations research, applied statistics, data mining, machine learning & related quantitative discipline (Preferably M.Sc /M. Tech. in Statistics/Mathematics) OR MBA from Tier 1 with relevant experience & expertise-Tier 1: Any Degree-Post Graduate- 1500k to 2000k-
Artificial Intelligence
,
Data Mining
,
Machine Learning
,
Predictive Modeling
,
Python
,
R
,
Sql
,
Statistical Modeling
,
Text Mining
-
Gurugram
!!!",4.0,Gurugram,1500k to 2000k,Data_Analytics,Machine Learning Engineer- Gurugram (4+ Years of Experience),"Artificial Intelligence,Data Mining,Machine Learning,Predictive Modeling,Python,R,Sql,Statistical Modeling,Text Mining"
"Involved in Requirement gathering & designing QlikView Applications.Creating and Managing QlikView Reports & Dashboards.Implemented Security & involved in Deployment of QlikView Applications.experience in VBAWriting SQL Scripts to load the relevant data in QlikView Applications.Designing Data Modeling and Loading data from Multiple Data sources.Performance tuning by analyzing and comparing the turnaround times between SQL and QlikView.Designed and developed extensive QlikView reports using combination of charts and tables.Publishing and Deploying the Dashboards based on business requirements.Developing Set Analysis to provide the custom functionality in QlikView Applications.Testing Applications, reports using review checklists, Data quality for quality assurance before delivering to the end users.Involved in complex mappings like Slowly Changing Dimensions.-Does Not Matter-Under Graduate- 500k to 900k-
Data Modeling
,
Qlikview
,
Sql
,
Vba
-
Mumbai
!!!",3.0,Mumbai,500k to 900k,Data_Analytics,Senior Analyst / Manager - Qlikview Developer- Mumbai (3-8 Years of Experience),"Data Modeling,Qlikview,Sql,Vba"
